Column1;Column2;Column3
爷爷常常让我给他读报纸;Yéye chángcháng ràng wǒ gěi tā dú bàozhǐ;My grandfather often lets me read the newspaper for him
这个消息是我从报纸上看到的;zhè ge xiāoxi shì wǒ cóng bàozhǐ shang kàn dào de;(Alguien pregunta antes: ¿dónde has leído esta revista?)  He leído (completamente) esta noticia en el periódico
考试的时候不可以使用铅笔;kǎoshì de shíhou bù kěyǐ shǐyòng qiānbǐ;Pencil is not allowed to be used during the exam
妈妈给我买了一块新手表;māma gěi wǒ mǎi le yī kuài xīn shǒubiǎo;My mother bought a new watch for me
她用手机给我拍了一些照片;tā yòng shǒujī gěi wǒ pāi le yī xiē zhàopiàn;She took some photos for me with her cell phone
开会的时候，请大家关闭手机;kāihuì de shíhou, qǐng dàjiā guānbì shǒujī;Please everyone switch off cell phones during the meeting
这个公园不需要门票;zhè ge gōngyuán bù xūyào ménpiào;This park needs no entrance tickets
他去火车站买火车票了;tā qù huǒchē zhàn mǎi huǒchē piào le;He went to the train station to buy tickets for the train
请帮我开一下门;qǐng bāng wǒ kāi yī xià mén;Please help me to open the door
有人在外面敲门;yǒu rén zài wàimian qiāo mén;Somebody is outside knocking at the door
生病了就应该吃药;shēng bìng le jiù yīnggāi chī yào;You should take medicine if you got ill
这个药一天吃三次;zhè ge yào yī tiān chī sān cì;Take this medicine three times a day
我们可以坐公共汽车去图书馆;wǒmen kěyǐ zuò gōnggòngqìchē qù túshūguǎn;We can go to the library by bus
他是公共汽车司机 (公交车）;tā shì gōnggòngqìchē sījī (gōngjiāochē);He is a bus driver
这条路不好走;zhè tiáo lù bù hǎo zǒu;This road is not good
请在路边停一下;qǐng zài lù biān tíng yī xià;Please stop at the road side
为了健康，别喝太多咖啡;wèile jiànkāng, bié hē tài duō kāfēi;Do not drink too much coffee, for your health
我要去超市买牛奶;wǒ yào qù chāoshì mǎi niúnǎi;I am going to the supermarket to buy milk
冰箱里还有牛奶吗？;bīngxiāng lǐ hái yǒu niúnǎi ma?;Is there any milk left in the fridge?
这个超市的西瓜又好吃又便宜;Zhè ge chāoshì de xīguā yòu hǎo chī yòu piányi;Watermelons from this supermarket are both tasty and cheap
十块钱能买几个鸡蛋？;shí kuài qián néng mǎi jǐ ge jīdàn?;How many eggs can be bought with 10 CNY?
北方人喜欢吃面条;Běifāng rén xǐhuan chī miàntiáo;People in the North like to eat noodles
南方人喜欢吃米饭;nánfāng rén xǐhuan chī mǐfàn;People in the South like to eat rice
妈妈给我煮了一碗面条;māma gěi wǒ zhǔ le yī wǎn miàntiáo;My mother cooked a bowl of noodles for me
你吃过羊肉火锅吗？;nǐ chī guo yángròu huǒguō ma?;Have you ever eaten hot pot of lamb?
我不在家的时候，你要好好照顾这些鱼;Wǒ bù zài jiā de shíhou, nǐ yào hǎohao zhàogu zhè xiē yú;You should take very good care of these fishes while I am out of home
我老婆有一双漂亮的棕眼睛;wǒ lǎopó yǒu yī shuāng piàoliang de zōng yǎnjing;My wife has a pair of beautiful brown eyes
闭上眼睛，休息一会儿吧;bì shang yǎnjing, xiūxi yī huìr ba;Close your eyes, rest for a while
你最近身体怎么样？;nǐ zuìjìn shēntǐ zěnme yàng?;How are you feeling lately? (literal: how is your body recently?)
今年冬天会下雪吗？;jīn nián dōngtiān huì xià xuě ma?;Will it snow this winter?
奶奶的头发像雪一样白;Nǎinai de tóufa xiàng xuě yí yàng bái;Grandmother's hair is white like snow
这次考试很简单;zhè cì kǎoshì hěn jiǎndān;This exam/test is simple
你一定能通过明天的考试;nǐ yīdìng néng tōngguò míngtiān de kǎoshì;You can certainly pass tomorrow's exam
我们每天早上八点上课;wǒmen měitiān zǎoshang bā diǎn shàng kè;We have class at 8:00 every morning
我很喜欢上汉语课;wǒ hěn xǐhuan shàng hànyǔ kè;I quite like (to attend) Chinese class
这道数学题怎么做？;zhè dào shùxué tí zěnme zuò?;How do you do this math problem?
这次考试一共有四道题;Zhè cì kǎoshì yī gòng yǒu sì dào tí;There are four questions in this exam in total
请你回答我的问题;qǐng nǐ huídá wǒ de wèntí;Please answer my question
我的手机有一点问题;wǒ de shǒujī yǒu yī diǎn wèntí;There is something wrong with my cell phone
医生告诉我要多做运动;yīshēng gàosu wǒ yào duō zuò yùndòng;The doctor told me I should do more sport
游泳是很好的健身运动;yóuyǒng shì hěn hǎo de jiànshēn yùndòng;Swimming is a good sport to keep fit
她的眼睛是什么颜色的？;tā de yǎnjing shì shénme yánsè de?;What is the colour of her eyes?
这件衣服有几种颜色？;Zhè jiàn yīfu yǒu jǐ zhǒng yánsè?;How many kinds of colours does this piece of clothes have?
他病了好长时间;Tā bìng le hǎo cháng shíjiān;He has been ill for a long time
没时间了，你快一点儿;méi shíjiān le, nǐ kuài yīdiǎnr;There is no time, hurry up
孔子学院旁边有一个公园;kǒngzǐ xuéyuàn pángbiān yǒu yī ge gōngyuán;There is a park beside Confucius Institute
我想坐在窗户旁边;wǒ xiǎng zuò zài chuānghu pángbiān;I want to sit by the window
一直往前走，图书馆就在你的右边;yī zhí wǎng qián zǒu, túshūguǎn jiù zài nǐ de yòubian;Go straight ahead, the library is on your right
过马路的时候，先看左边，再看右边;guò mǎlù de shíhou, xiān kàn zuǒbian, zài kàn yòubian;When crossing the road, look first at the left, then look at the right
右边的电梯坏了，我们坐左边的吧;yòubian de diàntī huài le, wǒmen zuò zuǒbian de ba;The elevator on the right is broken, let us take the one on the left
你往左边站一点儿;nǐ wǎng zuǒbian zhàn yī diǎnr;You stand to the left for a while
门外停了一辆新车;mén wài tíng le yī liàng xīn chē;A new car stopped outside the door
王经理现在在国外;wáng jīnglǐ xiànzài zài guówài;The Manager Wang is abroad now
我们每天要工作八个小时;wǒmen měitiān yào gōngzuò bā ge xiǎoshí;We (have to) work eight hours a day
你已经迟到一个小时了;nǐ yǐjīng chí dào yī ge xiǎoshí le;You already have been late for one hour
这件衬衫是我去年买的;zhè jiàn chènshān shì wǒ qù nián mǎi de;I bought this shirt last year
我去年就已经毕业了;wǒ qù nián jiù yǐjīng bìyè le;I just graduated last year
你今天早上吃了什么？;nǐ jīntiān zǎoshang chī le shénme?;What did you eat this morning?
她习惯在早上锻炼身体;Tā xíguàn zài zǎoshang duànliàn shēntǐ;She is used to doing exercise early in the morning
晚上九点以后不要给我打电话;wǎnshang jiǔ diǎn yǐhòu bù yào gěi wǒ dǎ diànhuà;Do not call me after 9 pm
星期一到星期五是工作日;xīngqīyī dào xīngqīwǔ shì gōngzuò rì;Monday to Friday are working days
圣诞节是每年的12月25日 (/ 号);shèngdàn jié shì měi nián de 12 yuè 25 rì (/ hào) (Birth of Saint = Christmas);Christmas is on December 25th every year
我刚过完33岁的生日;wǒ gāng guò wán 33 suì de shēngrì;I just finished to celebrate my 33rd birthday
妈妈的生日和爸爸的生日是同一天;māma de shēngrì hé bàba de shēngrì shì tóng yī tiān;The birthday of my mother and father are the same day
我长得像爸爸，弟弟长得像妈妈;wǒ zhǎng de xiàng bàba, dìdi zhǎng de xiàng māma;I look like my father, my younger brother looks like my mother
我真希望我有一辆新车;wǒ zhēn xīwàng wǒ yǒu yī liàng xīn chē;I really wish I had a new car
我和姐姐在同一个学校学习;wǒ hé jiějie zài tóng yī ge xuéxiào xuéxí;My elder sister and I study in the same school
我妹妹最近在减肥;wǒ mèimei zuìjìn zài jiǎnféi;My younger sister is losing weight recently
姐姐比妹妹高一点儿;jiějie bǐ mèimei gāo yī diǎnr;Elder sister is a bit taller than younger sister
妈妈让我照顾弟弟和妹妹;māma ràng wǒ zhàogu dìdi hé mèimei;Mum asked me to take care of my younger brother and sister
我爱我妻子;wǒ ài wǒ qīzi;I love my wife
我很饿因为我今天早上不吃早餐;wǒ hěn è yīnwèi wǒ jīntiān zǎoshang bù chī zǎocān;I am hungry because I did not eat breakfast today
她决定和她的丈夫离婚;tā juédìng hé tā de zhàngfu líhūn;She decided to divorce from her husband
丈夫比妻子大四岁;zhàngfu bǐ qīzi dà sì suì;The husband is four years older than the wife
他们结婚十年了，一直没有孩子;tāmen jiéhūn shí nián le, yī zhí méi yǒu háizi;They got married ten years ago, and still have no children
孩子们都很喜欢吃糖;háizimen dōu hěn xǐhuan chī táng;All children like candy
这家饭店的服务员很热情;zhè jiā fàndiàn de fúwùyuán hěn rèqíng;The waiters in this restaurant are very cordial
服务员，拿两瓶啤酒;fúwùyuán, ná liǎng píng píjiǔ;Waiter, take two bottles of beer
我有很多事情要做;wǒ yǒu hěn duō shìqing yào zuò;I have a lot of things to do
这件事情没有这么简单;zhè jiàn shìqing méi yǒu zhème jiǎndān (it seemed simple at first);This thing is not that simple
这个词是什么意思？;zhè ge cí shì shénme yìsi?;What is the meaning of this word?
我明白你的意思了;Wǒ míngbai nǐ de yìsi le;I understand what you mean (now)
请问一下，这家宾馆怎么走？;qǐng wèn yī xià, zhè jiā bīnguǎn zěnme zǒu?;Excuse me one second, how do I go to this guesthouse (hotel)?
她住在公司附近的宾馆里;Tā zhù zài gōngsī fùjìn de bīnguǎn li;She lives in a guesthouse (hotel) near the company
我请假了，明天不去公司;wǒ qǐng jià le, míngtiān bù qù gōngsī;I asked for a leave of absence, I will not go to the company tomorrow
他去火车站接他的女朋友了;tā qù huǒchē zhàn jiē tā de nǚ péngyou le;He went to the train station to pick up his girlfriend
从这儿去机场要一个小时;cóng zhèr qù jīchǎng yào yī ge xiǎoshí;It takes an hour to go to the airport from here
机场的东西一般都很贵;jīchǎng de dōngxi yī bān dōu hěn guì;Things at airport are usually expensive
这家宾馆一共有六十九个房间;zhè jiā bīnguǎn yī gòng yǒu liùshíjiǔ ge fángjiān;This hotel has sixty nine rooms in total
我终于有自己的房间了;wǒ zhōngyú yǒu zìjǐ de fángjiān le;I finally have my own room
我们的教室在三楼;wǒmen de jiàoshì zài sān lóu;Our classroom is on the third floor
孩子们在教室里认真地学习;háizimen zài jiàoshì li rènzhēn de xuéxí;Children are studying seriously in the classroom
今天太冷了，我不想出门;Jīntiān tài lěng le, wǒ bù xiǎng chū mén;Today is very very cold, I do not want to go out
我在家等妈妈回来做饭;wǒ zài jiā děng māma huí lái zuò fàn;I wait at home for my mother to come back to cook
你准备送她什么生日礼物？;nǐ zhǔnbèi sòng tā shénme shēngrì lǐwù?;What present are you planning to give/present her for her birthday?
这道题我也不会，你去问老师吧;Zhè dào tí wǒ yě bù huì, nǐ qù wèn lǎoshī ba;I am also unable to solve this problem, go ask the teacher
你吃完饭记得洗碗;nǐ chī wán fàn jìde xǐ wǎn;Remember to wash dishware after finishing to eat
爸爸笑着给我们讲他年轻时候的故事;bàba xiào zhe gěi wǒmen jiǎng tā niánqīng shíhou de gùshi;Dad smiled while telling us stories of his youth
你找到新的工作了吗？;nǐ zhǎodào xīn de gōngzuò le ma?;Have you already found a new job?
我还找新的工作;Wǒ hái zhǎo xīn de gōngzuò;I still search for new job
你走快一点儿，我们要迟到了;nǐ zǒu kuài yī diǎnr, wǒmen yào chí dào le;Go a bit faster, we are going to arrive delayed
如果你到了，你就先点菜吧;rúguǒ nǐ dào le, nǐ jiù xiān diǎn cài ba;If you arrive, you order food first
别人都懂了，只有你还不明白;bié rén dōu dǒng le, zhǐ yǒu nǐ hái bù míngbai;All the other people know, only you still do not understand
请问您姓什么？;qǐng wèn nín xìng shénme?;May I ask your family name?
我家离学校很近;Wǒ jiā lí xuéxiào hěn jìn;My home is near from school
我终于把这本书看完了;wǒ zhōngyú bǎ zhè běn shū kàn wán le;I finally finished reading this book
你们今天想去哪儿玩儿？;nǐmen jīntiān xiǎng qù nǎr wánr?;Where would you like to go today (for fun)?
现在我们开始学习吧;Xiànzài wǒmen kāishǐ xuéxí ba;Let us begin to study now
我决定从明天开始学习做饭;wǒ juédìng cóng míngtiān kāishǐ xuéxí zuò fàn;I decided to start from tomorrow to learn how to cook
天气太冷了，我一点儿都不想起床;tiānqì tài lěng le, wǒ yī diǎnr dōu bù xiǎng qǐchuáng;The weather is very cold, I do not want to get up at all
很多中老年人喜欢在晚饭后去广场上跳舞;Hěn duō zhōng lǎo nián rén xǐhuan zài wǎnfàn hòu qù guǎngchǎng shàng tiàowǔ;Many middle-aged and elderly people like to go dancing in the square after dinner
我最近很忙，都没有时间去旅游;wǒ zuìjìn hěn máng, dōu méi yǒu shíjiān qù lǚyóu;I am so busy recently that I even have no time to go to travel
他每天骑自行车去上班;tā měitiān qí zìxíngchē qù shàng bān;He goes to work by bike every day
医生说他需要休息;yīshēng shuō tā xūyào xiūxi;The doctor said he needs a rest
你别一直坐着，站起来运动一下;nǐ bié yī zhí zuò zhe, zhàn qǐlái yùndòng yī xià;Do not remain seated all the time, stand up (at once) and do some exercise
他每天起床后，都会去公园跑步;tā měitiān qǐchuáng hòu, dōu huì qù gōngyuán pǎobù;Every day after getting up he goes to run in the park
我最近在学游泳;wǒ zuìjìn zài xué yóuyǒng;I am recently learning to swim
我听说你生病了，现在好一点儿了吗？;wǒ tīng shuō nǐ shēngbìng le, xiànzài hǎo yī diǎnr le ma?;I heard you were ill, are you a bit better now?
上课的时候不要说话;Shàng kè de shíhou bù yào shuōhuà;Do not talk during class
她打电话告诉我，她会晚一点儿到;tā dǎ diànhuà gàosu wǒ, tā huì wǎn yī diǎnr dào;She called to tell me that she will arrive a bit late
老师正在给我们介绍新同学;lǎoshī zhèngzài gěi wǒmen jièshào xīn tóngxué;The teacher is introducing right now new classmates to us
你准备什么时候回国？;nǐ zhǔnbèi shénme shíhou huí guó?;When do you plan to return to the country?
我觉得这个电影一点儿都不好看;Wǒ juéde zhè ge diànyǐng yī diǎnr dōu bù hǎo kàn;I think this movie is not good at all
我希望爸爸妈妈身体健康;wǒ xīwàng bàba māma shēntǐ jiànkāng;I hope my parents are healthy (literal: body of my parents healthy)
今天可能会下雨;jīntiān kěnéng huì xiàyǔ;Perharps it will rain today
哥哥说明天教我打篮球;gēge shuō míngtiān jiào wǒ dǎ lánqiú;My eldest brother said he will teach me tomorrow to play basketball
操场上有很多孩子在踢足球;cāochǎng shàng yǒu hěn duō háizi zài tī zúqiú;There are many children playing football in the playground
他的牙齿非常白;Tā de yáchǐ fēicháng bái;His teeth are very white
外面太黑了，我什么都看不见;wàimiàn tài hēi le, wǒ shénme dōu kàn bù jiàn;It is so dark outside, I cannot see anything
我的黑头发越来越少，白头发越来越多;wǒ de hēi tóufa yuè lái yuè shǎo, bái tóufa yuè lái yuè duō;My dark hair is lesser and lesser, my white hair is more and more
你的脸怎么这么红？;nǐ de liǎn zěnme zhème hóng?;Why is your face so red?
我们的新邻居是外国人;Wǒmen de xīn línjū shì wàiguó rén;Our new neighbours are foreigners
这个城市哪儿都好，就是房子太贵了;zhè ge chéngshì nǎr dōu hǎo, jiù shì fángzi tài guì le;This town is good everywhere, just for this houses are too expensive
你为什么买这么贵的手机？;nǐ wèi shénme mǎi zhème guì de shǒujī?;Why do you buy such an expensive mobile phone?
他在这儿等了你很长时间了;Tā zài zhèr děng le nǐ hěn cháng shíjiān le;He has been waiting here for you for a long time
这条裤子太长了，有短一点儿的吗？;zhè tiáo kùzi tài cháng le, yǒu duǎn yī diǎnr de ma?;This pair of trousers is too long, do you have one a bit shorter?
世界上最高的楼在哪个国家？;Shìjiè shang zuì gāo de lóu zài nǎ ge guójiā?;In which country is the tallest building in the world?
人们的生活水平越来越高了;Rénmen de shēnghuó shuǐpíng yuè lái yuè gāo le;People's standard/level of living is getting higher and higher
爸爸工作很忙，每天都很晚回家;bàba gōngzuò hěn máng, měitiān dōu hěn wǎn huí jiā;Dad's work is quite busy, he comes home late every day
我换了新工作，比以前更忙了;wǒ huàn le xīn gōngzuò, bǐ yǐqián gèng máng le;I changed to a new job, I am even busier than before
这个字你写错了，应该这样写;zhè ge zì nǐ xiě cuò le, yīnggāi zhè yàng xiě;You wrote the character wrong, it should be written like this
你知道你哪里做错了吗？;nǐ zhīdào nǐ nǎli zuò cuò le ma?;Do you know what you did wrong?
我家和他家离得很近;Wǒ jiā hé tā jiā lí de hěn jìn (alternative: 我家离他家很近);My home is near his home
那家饭店太远了，我们找一家近一点儿的吧;nà jiā fàndiàn tài yuǎn le, wǒmen zhǎo yī jiā jìn yī diǎnr de ba;That restaurant is too far away, let us find a closer one
这儿离火车站有多远？;zhèr lí huǒchē zhàn yǒu duō yuǎn? 这儿离火车站远吗？  这儿离火车站远不远？;How far is it from here to the train station?
离我家不远的地方有一家医院;Lí wǒ jiā bù yuǎn de dìfang yǒu yī jiā yīyuàn;There is a hospital not far from my home
你快一点儿，火车要开了;nǐ kuài yī diǎnr, huǒchē yào kāi le;Hurry up, the train is about to leave
老师说得太快了，我没听清楚;lǎoshī shuō de tài kuài le, wǒ méi tīng qīngchu (hear + understand);The teacher spoke so fast that I did not hear clearly
外面正在下雨，你开车的时候慢一点儿;wài mian zhèng zài xià yǔ, nǐ kāi chē de shíhou màn yī diǎnr;Outside it is raining, when you drive go a bit slowly
我们走得很慢，走了很久才到家;wǒmen zǒu de hěn màn, zǒu le hěn jiǔ cái dào jiā;We walked so slowly that we walked a long time to arrive home just now
今天是晴天，我们一起出去玩儿吧;jīntiān shì qíngtiān, wǒmen yīqǐ chū qù wánr ba;It is sunny today, let us go out together to play
今天是阴天，有点儿冷;jīntiān shì yīntiān, yǒudiǎnr lěng;It is cloudy today, it is a bit cold
我们班有一个又高又帅的男同学;wǒmen bān yǒu yī ge yòu gāo yòu shuài de nán tóngxué;There is a tall, handsome male classmate in our class
我在女厕所门前见到了一个钱包;wǒ zài nǚ cèsuǒ mén qián jiǎn dào le yī ge qiánbāo;I picked up/collected a wallet in from of the ladies' toilet
这个面包太好吃了，我想再吃一个;zhè ge miànbāo tài hǎo chī le, wǒ xiǎng zài chī yī ge;This bread is so delicious that I want eat one again
我打羽毛球打得还可以;wǒ dǎ yǔmáoqiú dǎ de hái kěyǐ;I am not bad at badminton
这个电影还可以，你可以去看一下;zhè ge diànyǐng hái kěyǐ, nǐ kěyǐ qù kàn yī xià;This movie is not bad, you can go watch it
火车票比飞机票更便宜;huǒchē piào bǐ fēijī piào gèng piányi;Train tickets are even cheaper than flight tickets
哪里能买到又好吃又便宜的水果？;nǎli néng mǎi dào yòu hǎo chī yòu piányi de shuǐguǒ?;Where can I buy fruit both tasty and cheap?
和你聊天我觉得很快乐;Hé nǐ liáotiān wǒ juéde hěn kuàilè;I feel happy for chatting with you
我要给大家都讲一个故事;wǒ yào gěi dàjiā dōu jiǎng yī ge gùshi;I am going to tell all of you a story
这个活动每个人都必须参加;zhè ge huódòng měi ge rén dōu bìxū cānjiā;Everybody (each one) must take part in this activity
那本书你看完了吗？你什么时候把它还给我？;nà běn shū nǐ kàn wán le ma? Nǐ shénme shíhou bǎ tā huán gěi wǒ?;Have you finished reading that book? When will you return it to me?
他们为什么这么高兴？;Tāmen wèishénme zhème gāoxìng?;Why are they so happy?
哥哥正在学习，你别打扰他;Gēge zhèng zài xuéxí, nǐ bié dǎrǎo tā;Your elder brother is studying right now, do not disturb him
你别喝酒，一会儿还要开车呢;nǐ bié hē jiǔ, yī huìr hái yào kāi chē ne;Do not drink (alcohol), you will drive in a while/later
这件事你做得非常好;zhè jiàn shì nǐ zuò de fēicháng hǎo;You did a good job / What you did was very good
我们认识九年了，我非常了解她;wǒmen rènshi jiǔ nián le, wǒ fēicháng liǎojiě tā;We have known each other for more than nine years, I know her very well
这件衣服还不错;zhè jiàn yīfu hái bù cuò;This piece of clothes is fairly OK/not bad
我还想去一次北京;wǒ hái xiǎng qù yī cì běijīng;I still want to go one more time to Peking
你还在那个公司上班吗？;nǐ hái zài nà ge gōngsī shàng bān ma?;Do you still work in that company?
你能不能再说一遍？;Nǐ néng bù néng zài shuō yī biàn?;Can you say it once again?
你别再给我打电话了;Nǐ bié zài gěi wǒ dǎ diànhuà le;Do not call me again
这套西装还是太小了，有没有再大一点儿的？;zhè tào xīzhuāng háishì tài xiǎo le, yǒu méi yǒu zài dà yī diǎnr de?;This suit is still too small, do you have a larger one?
你写完作业再看电视;nǐ xiě wán zuòyè zài kàn diànshì;Do you homework, then watch TV
我先想想再回答你;wǒ xiān xiǎng xiǎng zài huídá nǐ;I will think a bit first, then I will answer you
这双鞋子还不错，就买这双吧;zhè shuāng xiézi hái bù cuò, jiù mǎi zhè shuāng ba;This pair of shoes is fairly good, then let us buy it
楼下有个超市，就去那里买一点儿菜吧;lóu xià yǒu ge chāoshì, jiù qù nàli mǎi yī diǎnr cài ba;There is a supermarket downstairs, then go there and buy some food
我今天五点钟就起床了;wǒ jīntiān wǔ diǎn zhōng jiù qǐchuáng le;I got up at at five o'clock today (remark: usually I wake up later, toda it went earlier or fast and well)
他一十五岁就结婚了;tā yīshíwǔ suì jiù jiéhūn le;She got married when she was fifteen (remark: speaker thinks it was early)
我们已经一年没有见面了;wǒmen yǐjīng yī nián méi yǒu jiànmiàn le;It is already one year we do not meet
你来晚了，他已经回去了;nǐ lái wǎn le, tā yǐjīng huí qù le;You arrived late, he went back already
王经理正在开会;wáng jīnglǐ zhèngzài kāihuì;Manager Wang is in a meeting right now
奶奶正在学习用手机上网;nǎinai zhèngzài xuéxí yòng shǒujī shàng wǎng;Grandmother is right now learning to surf the internet with her mobile phone
这真是一个好办法;zhè zhēn shì yī ge hǎo bànfǎ;It is really a good idea (literal: method)
读完这本书最少需要一个星期;dú wán zhè běn shū zuì shǎo xūyào yī ge xīngqī;You need at least one week to finish reading this book
这是我们班成绩最好的学生;zhè shì wǒmen bān chéngjī zuì hǎo de xuéshēng;This is the best student in our class (literal: with best grades/performance records)
很多人参加了这个活动;hěn duō rén cānjiā le zhè ge huódòng;Many people took part in this activity / event
她一个星期去看两次电影;tā yī ge xīngqī qù kàn liǎng cì diànyǐng;She goes to the movies twice a week
保罗已经两个月没来上汉语课了;bǎoluó yǐjīng liǎng ge yuè méi lái shàng hànyǔ kè le;It is already two months that Pablo does not come to Chinese class
他这次考试考了一百分;tā zhè cì kǎoshì kǎo le yī bǎi fēn;He got one hundred points on this exam
这个公司有几千个人;zhè ge gōngsī yǒu jǐ qiān ge rén;This company has several thousands of people
我花了八块钱买了一把花;wǒ huā le bā kuài qián mǎi le yī bǎ huā;I spent eight CHY to buy a bunch of flowers
你今天第一天去上班，千万别迟到了;nǐ jīntiān dì yī tiān qù shàng bān, qiānwàn bié chí dào le;Today is the first day you go to work, make sure you don't arrive delayed
我再给你一次机会;wǒ zài gěi nǐ yī cì jīhuì;I give you another chance
我突然想起来一件事情;wǒ tūrán xiǎng qǐlái yī jiàn shìqing;I suddenly remembered one thing (a thing came up to my mind)
他刚才拍了我一下;tā gāngcái pāi le wǒ yī xià;He claped me once just now
你在这儿等一下，我马上回来;nǐ zài zhèr děng yī xià, wǒ mǎ shàng huí lái;Wait here for a moment, I will come back immediately
请你帮我拿一下我的包;qǐng nǐ bāng wǒ ná yī xià wǒ de bāo;Please help me take my bag for a moment
她唱歌唱得很好听。;tā chàng gē chàng de hěn hǎo tīng (alternativa: 她歌唱得很好听);She sings very well
你找我有事吗？我正忙着呢;nǐ zhǎo wǒ yǒu shì ma? Wǒ zhèng máng zhe ne;What are you looking for me for? I am busy now
我今年比去年胖了;wǒ jīnnián bǐ qùnián pàng le;I am fatter than last year
你是从哪里来的？;nǐ shì cóng nǎli lái de?;Where do you come from?
你有什么话想对我说吗？;Nǐ yǒu shénme huà xiǎng duì wǒ shuō ma?;Is there anything you want to tell me?
你要对自己有信心;Nǐ yào duì zìjǐ yǒu xìnxīn;You should have confidence in yourself
请问飞往北京的飞机起飞了吗？;qǐngwèn fēi wǎng běijīng de fēijī qǐfēi le ma?;Excuse me: the plane which flies to Peking has already taken off?
请问飞往上海的飞机降落了吗？;Qǐngwèn fēi wǎng shànghǎi de fēijī jiàngluò le ma?;Excuse me: the plane from the flight to Shanghai has already landed?
虽然这条裙子很贵，但她还是买了;Suīrán zhè tiáo qúnzi hěn guì, dàn tā háishi mǎi le;Although this skirt is expensive, yet she still bought it
虽然工作很忙，但是我一直坚持学习汉语;suīrán gōngzuò hěn máng, dànshì wǒ yī zhí jiānchí xuéxí hànyǔ;Although very busy at work, yet I always insist in learning Chinese
因为她生病了，所以她今天没来;yīnwèi tā shēng bìng le, suǒyǐ tā jīntiān méi lái;She does not come today because she is sick
你还在因为那件事情生气吗？;nǐ hái zài yīnwèi nà jiàn shìqíng shēngqì ma?;Are you still angry because of that matter?
你还小，所以你不懂;Nǐ hái xiǎo, suǒyǐ nǐ bù dǒng;You are still young to understand
